Name|IfcClass|Level_name|Net Volume|Count|GlobalId
Стена: 400.00 мм|IfcWall|1-й этаж|9.570000000000027|1|3IDEgWZseeg$RnwFUDd9bo
Стена: 400.00 мм|IfcWall|1-й этаж|3.779999999999992|1|3Z3kcQ$4gLFMDFNRHK4rHF
Стена: 400.00 мм|IfcWall|1-й этаж|5.309999999999891|1|12h8KLGB5HioZf4WZQVs8e
Стена: 400.00 мм|IfcWall|1-й этаж|4.757999999999994|1|2KRPdswmgZJVh1_wiUGY8H
Стена: 400.00 мм|IfcWall|1-й этаж|3.248999999999987|1|1RFMMEybu4SEFNDBix6uAG
Стена: 400.00 мм|IfcWall|1-й этаж|0.936000000000017|1|2gobKt4XIJwi1D5T8utcao
Стена: 400.00 мм|IfcWall|1-й этаж|1.896000000000009|1|0fycqqHdZ$E$_cLdwRI$9M
Стена: 400.00 мм|IfcWall|1-й этаж|0.936000000000004|1|1e6ZnsKWsL44OdPuP38kKT
Стена: 400.00 мм|IfcWall|1-й этаж|3.248999999999923|1|2FEx$KSu7$Gq4wu56PSEWH
Стена: 400.00 мм|IfcWall|1-й этаж|3.929999999999993|1|2ROB_P9UpSiJN7xrkfHoGl
Стена: 400.00 мм|IfcWall|1-й этаж|2.49999999999999|1|23VbxooM18TUBG4Z74Jfrr
Стена: 400.00 мм|IfcWall|1-й этаж|1.14|1|1CxfLE_NABzMYgarwvkXGk
Стена: 400.00 мм|IfcWall|1-й этаж|1.085999999999993|1|1bcMnlnNGDXoufUO8cAuu5
Стена: 400.00 мм|IfcWall|1-й этаж|1.715999999999997|1|0EtrWnZEU797iO$dqYjKSY
Стена: 400.00 мм|IfcWall|1-й этаж|4.821749999999984|1|0iWs86pYorcXyQTdcumLDx
Стена: 400.00 мм|IfcWall|1-й этаж|1.650750000000056|1|3dyJ4GrqYVho0eJZ9T15R2
Стена: 300.00 мм|IfcWall|1-й этаж|2.376|1|2mHFFeTtSw4PW8xK2uVur3
Стена: 400.00 мм|IfcWall|1-й этаж|2.315639999999866|1|2tO$01oZKO30vUB_T6Qif$
Стена: 400.00 мм|IfcWall|1-й этаж|5.723999999999827|1|212Ed$aIfP_6OKgW6rkNzP
Стена: 200.00 мм|IfcWall|1-й этаж|2.411819999999988|1|2Y43_K_xeYNNPS8sMmjoH6
Стена: 100.00 мм|IfcWall|1-й этаж|1.007910000000002|1|1l_6641zfiEwR66gpZI5MX
